Date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,sma_7,sma_21,sma_50,ema_12,volatility
2023-05-12,556.05,562.565,555.435,558.48,1000000,32.75048570635603,0.10214752563786078,1.4079671207887672,-1.3058195951509064,562.9365,572.2485929299938,553.6244070700062,559.1957142857143,562.812619047619,558.1479,560.3921112045215,0.10929260304516406
2023-05-15,558.325,566.005,557.24,565.105,1000000,51.996613517708404,0.47053798320712303,1.2204812932724385,-0.7499433100653154,563.3365,572.2736207538233,554.3993792461767,559.9364285714286,563.0397619047619,558.9592,561.1171710192104,0.1150282079040151
2023-05-16,564.86,565.525,559.37,562.36,1000000,43.28165374677019,0.5348263703829161,1.083350308694534,-0.5485239383116178,563.358,572.2829345567405,554.4330654432594,560.2285714285714,563.29,559.8339,561.3083754777934,0.11266343164232256
2023-05-17,562.45,563.2,558.645,561.905,1000000,37.3138957816378,0.5428035811858081,0.9752409631927887,-0.4324373820069807,563.0117499999999,571.5727301916662,554.4507698083336,560.5414285714286,563.2888095238095,560.6907,561.4001638658252,0.10300458238312384
2023-05-18,561.93,562.33,555.68,556.905,1000000,34.20042643923257,0.14400733801210208,0.8089942381566515,-0.6649869001445494,562.4385,571.024149655093,553.852850344907,560.1271428571429,562.7209523809523,561.3014,560.7086001941598,0.10714923628181672
2023-05-19,556.86,559.575,554.565,557.83,1000000,39.097630903878354,-0.09629179653131814,0.6279370312190576,-0.7242288277503758,562.06575,570.7774531237175,553.3540468762825,559.805,562.2190476190476,561.5828,560.2657386258276,0.10621158432340094
2023-05-22,557.945,559.17,550.995,551.975,1000000,40.67503924646805,-0.7505285338912699,0.3522439181969922,-1.1027724520882622,561.119,569.8990153458684,552.3389846541317,559.2228571428572,561.5852380952381,561.5089999999999,558.9902403757003,0.10393831968697555
2023-05-23,552.04,552.65,546.105,548.45,1000000,32.39861299562821,-1.535750723744286,-0.02535501019126346,-1.5103957135530226,560.357,570.7031339842982,550.0108660157017,557.7900000000001,560.5157142857144,561.2529999999999,557.3686649332849,0.09733090962616492
2023-05-24,548.36,555.26,548.315,551.03,1000000,37.49296567248184,-1.9276398955807963,-0.40581198726917006,-1.5218279083116262,559.5564999999999,570.1986827499911,548.9143172500087,555.7792857142857,559.9128571428571,561.0728,556.3934857127796,0.09619217048044364
2023-05-25,550.94,553.69,548.215,549.085,1000000,34.861148557562714,-2.3678648604603723,-0.7982225619074106,-1.5696422985529617,558.5065000000001,568.9162045309199,548.0967954690802,553.8828571428572,559.0578571428572,560.8147,555.2691032954289,0.09300259646700336
2023-05-26,549.175,551.675,547.71,548.775,1000000,35.13586956521739,-2.710515589520355,-1.1806811674299995,-1.5298344220903557,557.54425,567.8080972703697,547.2804027296304,552.0071428571429,558.0430952380952,560.6297999999999,554.2700104807475,0.09286673749913896
2023-05-29,548.755,550.805,547.19,548.815,1000000,35.04761904761932,-2.9448941881910287,-1.5335237715822054,-1.4113704166088232,556.73225,567.0635791930293,546.4009208069707,550.8514285714285,557.1285714285715,560.2048,553.430778099094,0.09210759417112681
2023-05-30,548.84,557.265,548.065,555.28,1000000,44.40433212996384,-2.5792376009593454,-1.7426665374576336,-0.8365710635017118,556.6005,566.9355267486224,546.2654732513777,550.4871428571429,556.6630952380953,559.9639,553.7152737761564,0.09351235586554438
