Date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,sma_7,sma_21,sma_50,ema_12,volatility
2023-05-12,485.095,489.365,484.67,485.64,1000000,21.994576679722712,-1.5085185018377842,0.22612909247372814,-1.7346475943115123,493.9345,506.58672173125507,481.28227826874496,486.84285714285716,494.0290476190477,490.5136,489.45584621631224,0.10096958563184336
2023-05-15,486.625,492.485,485.72,489.76,1000000,36.99384515711039,-1.3725134106952623,-0.09359940816006995,-1.2789140025351924,493.83900000000006,506.59162598344693,481.0863740165532,486.8442857142857,493.7357142857143,490.99799999999993,489.50263910611034,0.10221214856216823
2023-05-16,490.475,491.32,487.15,488.51,1000000,27.317415730337018,-1.350030636601275,-0.344885653848311,-1.0051449827529642,493.49000000000007,506.4330038000621,480.546996199938,486.9057142857143,493.58523809523814,491.53060000000005,489.349925397478,0.09805387793244703
2023-05-17,489.18,490.155,486.38,487.08,1000000,23.584254143646362,-1.4311050371076703,-0.5621295305001829,-0.8689755066074875,492.831,505.6643117520894,479.9976882479106,486.8514285714286,493.18476190476196,492.0372,489.0007061055583,0.09035714335224454
2023-05-18,487.75,488.31,482.95,481.89,1000000,23.223393403604177,-1.8923330712695474,-0.8281702386540558,-1.0641628326154917,491.91049999999996,505.12348480164195,478.69751519835796,486.33428571428567,492.31,492.3417999999999,487.90675132008784,0.09601161125452355
2023-05-19,483.355,485.375,481.445,484.04,1000000,30.409752793769073,-2.0606190459403138,-1.0746600001113076,-0.9859590458290062,491.139,504.295255906362,477.982744093638,485.9171428571429,491.5357142857143,492.4082,487.3118665016128,0.0986009278609505
2023-05-22,484.685,485.6,479.155,479.74,1000000,29.520052596975717,-2.5120041366831174,-1.3621288274256695,-1.1498753092574479,489.91450000000003,502.48630215695766,477.3426978430424,485.2371428571429,490.5961904761905,492.2182,486.14696396290316,0.0926422146122178
2023-05-23,479.89,480.44,475.085,475.71,1000000,25.80833090591321,-3.1585080780150747,-1.7214046775435508,-1.437103400471524,488.81049999999993,502.3137666223282,475.30723337767165,483.8185714285714,489.23809523809524,491.8312,484.5412771993796,0.08734274946092431
2023-05-24,475.905,481.82,475.685,478.82,1000000,34.327502150846016,-3.38094269782772,-2.053312281600385,-1.3276304162273354,487.67999999999995,500.503532644076,474.8564673559239,482.2557142857143,488.3347619047619,491.59839999999997,483.66108070716734,0.0862541348584408
2023-05-25,479.02,480.795,476.945,477.08,1000000,34.25872925014313,-3.655488993147287,-2.3737476239097655,-1.2817413692375217,486.41499999999996,498.0712131613641,474.75878683863584,480.6228571428571,487.175238095238,491.30300000000005,482.64860675221854,0.08491864186224582
2023-05-26,477.83,479.37,475.715,476.12,1000000,33.92857142857147,-3.9055125693304262,-2.680100612993898,-1.2254119563365284,485.33900000000006,496.5986211958345,474.07937880416563,479.0571428571428,485.9247619047619,491.05660000000006,481.6442057134157,0.08095076159811045
2023-05-29,476.82,478.595,475.025,474.21,1000000,33.96708286038594,-4.209257393185283,-2.9859319690321753,-1.2233254241531073,484.26899999999995,495.48612769314,473.0518723068599,477.96,484.8090476190476,490.5908,480.5004817575056,0.08093023320880822
2023-05-30,475.71,481.155,475.23,479.98,1000000,41.17795753286155,-3.9389804615253183,-3.1765416675308042,-0.7624387939945141,483.658,494.3763278350192,472.93967216498083,477.38,484.06476190476195,490.19579999999996,480.4204076409663,0.09355466147520568
2023-05-31,480.175,480.81,475.39,476.82,1000000,40.461997019374095,-3.934416136589107,-3.328116561342465,-0.6062995752466418,482.883,493.19811532705893,472.56788467294103,476.9628571428571,483.33238095238096,489.6568,479.86649877312533,0.09524243898500838
2023-06-01,478.49,483.48,477.165,482.46,1000000,46.447721179624665,-3.43608891748994,-3.3497110325719603,-0.08637788491797949,482.51849999999996,492.3140269598451,472.72297304015484,477.9271428571428,482.8628571428571,489.25380000000007,480.26549896187527,0.10529788115522574
2023-06-02,483.21,484.095,480.37,479.82,1000000,38.51663585951945,-3.2171021912158153,-3.3231892643007312,0.10608707308491594,482.10549999999995,491.6057924608722,472.6052075391277,478.07,482.38999999999993,489.0146,480.19696066004826,0.10624442386854782
2023-06-05,480.705,481.075,478.435,479.77,1000000,39.61501901140687,-3.0128578650327427,-3.261122984447134,0.24826511941439122,481.721,490.9267302520596,472.5152697479404,478.45428571428573,481.9942857142857,488.7316,480.1312744046562,0.10626122319040446
2023-06-06,480.475,481.26,477.43,478.06,1000000,39.353163361662,-2.9549130754017483,-3.199881002638057,0.24496792723630856,481.34849999999994,490.51149485631424,472.18550514368565,478.73142857142864,481.5466666666666,488.46259999999995,479.8126168039399,0.1060967203095892
