Date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,sma_7,sma_21,sma_50,ema_12,volatility
2023-05-12,444.45,448.655,443.99,448.255,1000000,29.732162952959754,-1.832379578093878,-1.2177350666473914,-0.6146445114464867,450.1740000000001,460.546495817,439.8015041830002,444.61500000000007,450.2302380952381,451.6915,447.0032753035341,0.08520325320970752
2023-05-15,448.0,453.215,447.5,451.055,1000000,42.72087213263689,-1.3734332517933012,-1.2488747036765733,-0.12455854811672795,450.21925,460.5991984204172,439.83930157958275,445.42999999999995,450.21595238095244,451.9866,447.6266175645289,0.08779576355648477
2023-05-16,451.055,451.355,447.75,450.355,1000000,40.08552779653395,-1.0540487140730193,-1.2099095057558626,0.1558607916828434,450.12425,460.46043542841227,439.78806457158777,446.40214285714285,450.2257142857143,452.2287,448.0463687084475,0.0862744542193586
2023-05-17,450.355,451.155,448.865,449.955,1000000,35.37591326891342,-0.8237155439038588,-1.1326707133854619,0.30895516948160306,449.759,459.5345444591941,439.98345554080595,447.3171428571428,450.1161904761905,452.4628,448.3400042917633,0.07531455933777031
2023-05-18,449.8,450.305,447.84,448.755,1000000,40.76588810429119,-0.7295945069462277,-1.052055472097615,0.3224609651513872,449.35875,458.566367484281,440.151132515719,448.0607142857143,449.71119047619044,452.6099,448.40384978533814,0.07560402543976782
2023-05-19,448.655,449.355,447.355,448.2,1000000,39.572897442657556,-0.6918119907322193,-0.9800067758245359,0.28819478509231655,449.03375000000005,457.9000943336079,440.1674056663922,448.7178571428571,449.30357142857144,452.5338,448.37248827990146,0.07439867538975192
2023-05-22,448.255,448.465,443.44,443.85,1000000,40.11223944414753,-1.0013349539179899,-0.9842724114432267,-0.01706254247476313,448.36325000000005,456.61732030373156,440.10917969626854,448.63214285714287,448.78690476190485,452.2888,447.6767208522243,0.07693910720873111
2023-05-23,443.75,444.235,440.79,441.8,1000000,39.58333333333335,-1.3959602389904262,-1.0666099769526667,-0.3293502620377595,447.74025,456.0012295997426,439.4792704002574,447.71,448.0507142857143,451.8926,446.7726099518821,0.0755327271891176
2023-05-24,441.8,446.705,441.705,445.6,1000000,50.55903398926654,-1.386097311466017,-1.1305074438553366,-0.25558986761068025,447.28225000000003,454.89479468485683,439.66970531514323,446.9307142857143,447.6383333333334,451.5224,446.59220842082334,0.08311059788979126
2023-05-25,445.65,447.855,444.35,445.65,1000000,55.09461426491987,-1.3585853618504302,-1.1761230274543555,-0.18246233439607473,446.75675,453.1408299320608,440.3726700679392,446.25857142857143,447.20452380952383,451.1532000000001,446.44725327915825,0.08183527732808221
